id,title,img,price,category
68,"Vacuum Cleaners for Home, Cordless Vacuum Cleaner with 80000 RPM High-Speed Brushless Motor, 2600mAh Powerful Lithium Batteries, 5 Stages High Efficiency Filtration, Up to 40 Mins Runtime",71rfv2GwslL._AC_UL320_.jpg,149.99,Vacuum Cleaners & Floor Care
69,"INSE Cordless Vacuum Cleaner, 6-in-1 Stick Vacuum with 26Kpa 350W Suction, Max 50 Min Runtime Rechargeable Vacuum Cleaners for Home, Lightweight Household Vacuum for Hard Floor Pet Hair-S10",71V8FwTwXBL._AC_UL320_.jpg,129.89,Vacuum Cleaners & Floor Care
70,"Laresar Cordless Stick Vacuum Cleaner with Touch Screen, 400W/33000pa , Up to 50 Mins Runtime, Handheld Anti-Tangle , Edge Cleaning, Pet Hair, Carpet and Hardwood Floor",61R58ESIrlL._AC_UL320_.jpg,199.99,Vacuum Cleaners & Floor Care
71,"Shark AZ2002 Vertex Powered Lift-Away Upright Vacuum with DuoClean PowerFins, Self-Cleaning Brushroll, Large Dust Cup, Pet Crevice Tool, Dusting Brush & Power Brush, Silver/Rose Gold",71-5ABPNUwL._AC_UL320_.jpg,337.75,Vacuum Cleaners & Floor Care
72,"Vacuum Cleaner Cordless Vacuum Stick Cordless Vacuum Cleaner with 23Kpa Super Suction, 80000 RPM High-Speed Brushless Motor, Up to 35 Mins Runtime Lightweight Vacuum Cleaners for home Hardwood Floor",71R2Drq7MxL._AC_UL320_.jpg,149.99,Vacuum Cleaners & Floor Care
73,"Shark S5003D Genius Hard Floor Cleaning System Pocket Steam Mop, Burgundy/Gray",71jgPEG9+8L._AC_UL320_.jpg,117.64,Vacuum Cleaners & Floor Care
74,"BISSELL Little Green Proheat Portable Deep Cleaner/Spot Cleaner and Car/Auto Detailer with self-Cleaning HydroRinse Tool for Carpet and Upholstery, 2513E",91zBUhFKfWL._AC_UL320_.jpg,113.89,Vacuum Cleaners & Floor Care
75,"Kenmore 600 Series Friendly Lightweight Bagged Canister Vacuum with Pet PowerMate, Pop-N-Go Brush, 2 Motors, HEPA Filter, Aluminum Telescoping Wand, Retractable Cord and 4 Cleaning Tools, Purple",61kb-gr6MML._AC_UL320_.jpg,349.99,Vacuum Cleaners & Floor Care
76,"Lubluelu Cordless Vacuum Cleaner, 25Kpa Powerful Cordless Stick Vacuum with Self-Standing,50Mins Long Runtime, Lightweight Handheld Quiet Vacuum Cordless for Pet Hair, Carpet & Hardwood Floor",61SiCfuiufL._AC_UL320_.jpg,119.99,Vacuum Cleaners & Floor Care
77,"Shark HZ602 Ultralight Pet Pro Corded Stick Vacuum with PowerFins & Self-Cleaning Brushroll, Perfect for Pets, Converts to Hand Vacuum, Pet Power Brush, Crevice & Upholstery Tools, Comet Red",61azhqiOnrL._AC_UL320_.jpg,217.69,Vacuum Cleaners & Floor Care
